"id","mountainproject_id","name","route_type","rating","mp_stars","pitches","location","longitude","latitude","date_added","date_updated"
1,"105969252","Dopey Duck","Trad","5.9",4,"3","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Shortoff Mountain']",-81.9026,35.8314,"2020-10-16 12:51:12.542506-04","2020-10-16"
2,"105923509","Shredded Wheat","Trad","5.11a",4,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Cereal Buttress']",-82.2177,35.4458,"2020-10-16 12:51:12.543931-04","2020-10-16"
3,"105883690","The Daddy","Trad","5.6",4,"5","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Amphitheater']",-81.8929,35.871,"2020-10-16 12:51:12.544789-04","2020-10-16"
4,"105874396","The Nose","Trad","5.8",4,"4","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'Nose Area']",-82.7954,35.3047,"2020-10-16 12:51:12.545646-04","2020-10-16"
5,"106025962","Straight and Narrow","Trad","5.10a",4,"3","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Shortoff Mountain']",-81.9026,35.8314,"2020-10-16 12:51:12.546421-04","2020-10-16"
6,"105900752","Titties and Beer  (aka ""World's Hardest 5.8"")","Trad","5.10a",4,"5","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'Sun Wall']",-82.7953,35.3031,"2020-10-16 12:51:12.547052-04","2020-10-16"
7,"105925472","White Lightning","Trad","5.8+",4,"2","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Table Rock']",-81.8852,35.8883,"2020-10-16 12:51:12.54768-04","2020-10-16"
8,"105899306","Frosted Flake","Trad","5.9+",4,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Cereal Buttress']",-82.2177,35.4458,"2020-10-16 12:51:12.548295-04","2020-10-16"
9,"106967927","Dime Crack","Boulder","V4",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Trailside Area', 'Trailside Boulder']",-82.2186,35.4494,"2020-10-16 12:51:12.549051-04","2020-10-16"
10,"105874488","The Womb","Trad","5.11a",4,"3","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'North Side']",-82.7909,35.3055,"2020-10-16 12:51:12.549851-04","2020-10-16"
